timestamp_ms,keypoint.right_elbow_x,keypoint.right_elbow_y,joint.right_elbow_x,joint.right_elbow_y,joint.right_elbow_z,angle.shoulder_abduction
10919,285.0802612,274.7276306,-0.480316192,-0.396899313,0.320400834,46.33117294
11023,270.7879333,269.4455261,-0.437565327,-0.385451972,0.339501202,43.37366486
11131,264.4990234,282.709137,-0.408105135,-0.363912761,0.346387535,39.03800583
11257,257.8599243,288.859436,-0.400549382,-0.348748326,0.360417187,38.05712128
11333,251.3083649,293.5177612,-0.378305227,-0.323158205,0.360275507,35.02600098
11437,245.3039856,296.8154297,-0.368177086,-0.316546679,0.357376426,32.38251877
11536,229.3774261,300.4837952,-0.333946526,-0.299902618,0.361535758,28.56640816
11639,223.8034973,303.0587158,-0.298722893,-0.296068013,0.371377498,26.68871117
11739,217.3686829,304.9647522,-0.283121407,-0.287836015,0.369365782,25.44531822
11876,212.59729,305.9423523,-0.261167377,-0.289166123,0.369934946,24.00494385
11947,213.1809387,306.2706604,-0.261287898,-0.285729766,0.370160162,23.78410149
12080,214.2023315,306.3910522,-0.254463017,-0.280752212,0.373858184,23.01519585
12148,214.6254883,307.3175964,-0.254934996,-0.270103693,0.378335714,22.53369331
12251,215.2237244,306.7412415,-0.263459742,-0.275142133,0.384529114,23.21912575
12350,215.6614685,306.6463928,-0.262691677,-0.272323668,0.385594189,22.51670074
12459,221.3521423,306.2816162,-0.270017445,-0.276617408,0.380114108,23.79784775
12555,225.9338531,306.9674072,-0.290793002,-0.285922766,0.377833366,25.75217247
12695,233.1712036,300.1226501,-0.313855082,-0.282453984,0.374042124,27.10372543
12758,240.3552094,295.3416748,-0.3324081,-0.293943077,0.364138126,27.60551834
12903,249.4771423,290.6468811,-0.35232991,-0.307970554,0.346998662,30.89866829
12967,259.2169189,284.8103027,-0.394821167,-0.319938719,0.335166305,34.58843994
13072,263.5214233,280.2869568,-0.406260431,-0.336395383,0.328367323,37.23497772
13209,269.1974487,274.3190613,-0.437100381,-0.366220236,0.332044512,42.20480347
13277,283.4824829,276.4056396,-0.489642292,-0.379792988,0.314045608,46.10448074
13413,290.625,275.2675171,-0.520043492,-0.386017412,0.29881686,48.43161011
13486,290.6833496,271.8093262,-0.515868485,-0.392258584,0.293947518,48.80303574
13623,290.6541748,257.4221802,-0.517857015,-0.418936461,0.298525393,52.06203842
13686,295.0352783,249.5428009,-0.538040936,-0.439027458,0.292262495,55.45797348
13815,297.818573,242.236145,-0.541766524,-0.461695254,0.292667538,58.45165253
13916,299.1846924,239.3406525,-0.548912168,-0.465308815,0.290835679,58.3549118
14043,298.5134888,238.4378052,-0.539049327,-0.47323525,0.289822221,57.73030853
14115,296.556427,241.5485229,-0.538309634,-0.467933208,0.300538987,57.32215118
14239,296.2901306,243.2210541,-0.535792947,-0.462750107,0.294583678,55.51123428
14322,293.4630127,243.2046509,-0.526108384,-0.465950638,0.305948555,55.64810562
14423,290.9898071,247.3139648,-0.508904219,-0.454415798,0.309701711,53.44480896
14523,288.5238342,258.2684937,-0.496103048,-0.430440456,0.319712341,50.70599365
14657,287.0501099,272.9766541,-0.478519887,-0.393545359,0.313343853,46.91975403
14729,281.4542847,279.8930054,-0.456885189,-0.372597635,0.31610775,43.52128601
14852,270.6712036,274.1731567,-0.437842667,-0.366818964,0.327385366,41.20283127
14920,263.8424072,278.8132324,-0.401470363,-0.355065227,0.342431277,37.7412796
15023,258.3851929,283.1614685,-0.384447038,-0.340772927,0.347100914,36.07855988
15127,248.1201324,294.2874451,-0.358380497,-0.323636711,0.353310406,32.49505234
15233,241.7418518,296.556427,-0.337688148,-0.306058586,0.356572807,29.50168228
15379,234.123291,299.1824341,-0.318264514,-0.300844193,0.361263871,28.00145721
15433,225.9411469,298.7424011,-0.293320715,-0.298242658,0.358651251,26.17017555
15574,223.3365784,298.9211426,-0.27616328,-0.292280018,0.364668548,24.84969711
15642,223.1031189,301.2384338,-0.272471398,-0.293638587,0.359412551,24.18416023
15745,223.321991,301.6360779,-0.27661109,-0.291958869,0.364208221,24.67938995
15841,224.6060333,300.5950623,-0.279124081,-0.284419656,0.361501724,24.06524086
15947,224.1828766,300.6379089,-0.286724806,-0.284969091,0.363307804,24.8051281
16118,255.8317108,300.5293884,-0.282808185,-0.288230658,0.366053373,24.89270592
16178,224.1682892,300.5293884,-0.283415049,-0.291567266,0.369553059,24.35468292
16279,223.9640198,299.3151245,-0.276991755,-0.291237295,0.366559386,23.53475571
16408,234.3604126,296.5728455,-0.295741856,-0.294919729,0.367256671,24.64620018
16487,240.0921021,294.9221802,-0.325614631,-0.296014369,0.360520065,27.50074196
16611,252.0306396,283.8180847,-0.356959552,-0.311255872,0.346358746,30.64679909
16689,261.4494019,278.6965027,-0.395414233,-0.336138994,0.336164802,35.76403809
16791,268.0447388,275.0048523,-0.429972112,-0.3634682,0.330094904,41.13175201
16895,283.5846252,279.2363892,-0.473617792,-0.372579455,0.309789151,44.23897171
17031,288.0350342,272.378418,-0.50132823,-0.382976353,0.303195715,47.9312439
17102,287.867218,270.0583801,-0.509399772,-0.397976518,0.290011734,49.72105408
17212,289.8005981,261.507782,-0.519056261,-0.411364824,0.28948465,52.34066391
17311,292.1571045,256.2256775,-0.523361742,-0.426500022,0.291178107,54.19579315
17471,293.1237793,246.1940613,-0.530626297,-0.445983946,0.290128052,57.20935059
17529,298.6712646,243.1134491,-0.550864756,-0.467151403,0.281345546,61.38167953
17624,295.998291,237.0452271,-0.5396896,-0.479273558,0.282518476,60.79515076
17728,298.8190002,236.5983734,-0.539699554,-0.480929554,0.28466776,61.00134277
17832,298.0046387,236.3776703,-0.546779156,-0.477932632,0.284297973,61.09486389
17952,295.8305054,236.1223297,-0.533684313,-0.481238812,0.28409189,61.34654617
18036,292.5583496,242.8416901,-0.519616723,-0.475430042,0.298025399,59.8060379
18151,288.946991,248.1128387,-0.505163193,-0.452055126,0.308828145,56.0005455
18247,290.6104126,262.3686829,-0.499574393,-0.428227007,0.309403777,53.60121536
18381,287.1011658,274.0126343,-0.480715662,-0.397092283,0.308373541,48.91865158
18463,283.6575928,278.6819153,-0.460357398,-0.377064586,0.31046313,44.37472153
18569,268.9202271,273.2101135,-0.425163835,-0.370972604,0.328193963,41.5568161
18669,268.8034973,272.9912415,-0.40743348,-0.367885202,0.324972153,40.56681442
18801,266.7169189,278.6965027,-0.406110317,-0.354874998,0.329648823,39.60718536
18873,258.7645874,284.5476685,-0.374669969,-0.343131423,0.334362,35.70235825
19008,251.1040802,289.8224792,-0.348573923,-0.328288376,0.342068315,32.85290146
19079,247.8283081,289.4649658,-0.343928725,-0.326216459,0.34350425,31.69015884
19223,242.4422455,292.9304504,-0.321687549,-0.310857117,0.341922343,28.6780777
19293,235.998291,294.0795288,-0.295677871,-0.311427593,0.348980248,27.63994408
19432,232.5401306,295.509491,-0.289909393,-0.309323311,0.348315358,26.07050514
19500,230.6468811,295.3343811,-0.283821881,-0.305383056,0.362683773,26.0359478
19605,230.0048676,299.6425171,-0.280205131,-0.299473822,0.359120458,25.55723
19705,229.3409576,300.1491089,-0.280266076,-0.30143863,0.369399756,25.17762566
19879,231.9163361,300.7437134,-0.28739056,-0.301892698,0.372468233,25.87458229
19935,229.326355,296.5892639,-0.285674661,-0.304579496,0.375545233,25.89912987
20068,239.5121002,293.2550964,-0.300878674,-0.313468218,0.362097412,27.2728405
20142,247.5,287.9401855,-0.344447762,-0.323412776,0.357126117,31.85339737
20266,258.1079712,280.5787964,-0.381402373,-0.335017592,0.343534559,34.61717224
20339,264.2947388,276.4348145,-0.408366859,-0.360720396,0.332584441,39.02202606
20489,270.7295532,272.0428162,-0.440302908,-0.377540946,0.329760551,42.12585068
20542,284.8978577,278.492218,-0.47664699,-0.381942689,0.310701191,44.84018326
20659,290.9387207,273.0933838,-0.508993506,-0.39412576,0.297020137,49.12554932
20744,289.5160522,267.7383118,-0.514262199,-0.413041413,0.288555712,51.92444611
20894,290.3769531,260.6760559,-0.513130248,-0.418350637,0.282953322,51.00388718
20967,292.427063,257.2616882,-0.516777813,-0.434546381,0.275533944,53.25537872
21065,293.5688171,254.4965973,-0.527963042,-0.440769255,0.273894757,55.79769897
21166,295.1519775,252.5632324,-0.538538635,-0.44920519,0.278735071,58.05674362
21278,294.4625549,253.8910522,-0.534609675,-0.443562746,0.281992644,56.99062729
21385,293.1602783,255.0291901,-0.528213322,-0.437782794,0.284325242,56.45882034
21497,293.0508423,257.3930054,-0.530494869,-0.434022695,0.281242639,55.46076965
21629,291.3545532,260.6177063,-0.516362131,-0.420730501,0.289106488,52.86095047
21719,289.1293945,264.6011658,-0.502086461,-0.407003164,0.298142344,50.41125488
21823,290.5009766,273.9251099,-0.495481879,-0.393438756,0.295569181,47.971138
21931,284.0807495,280.5350342,-0.471853912,-0.376758575,0.29995656,44.52190399
22067,280.5350342,280.4474792,-0.443549126,-0.368944287,0.301522613,41.19569397
22133,267.2860107,274.362854,-0.415446222,-0.360168368,0.323423743,38.93148041
22250,263.9007568,277.4124451,-0.397411197,-0.352522701,0.3158485,37.60320663
22373,258.9396973,282.2130432,-0.379409075,-0.345908433,0.32687673,35.46973038
22500,253.2928009,284.9270325,-0.362856448,-0.337849736,0.336123168,33.00413513
22572,250.0681,288.6697388,-0.344520509,-0.323908031,0.346668839,31.415205
22721,247.0549622,292.8939819,-0.332941324,-0.322788298,0.350721359,30.2255497
22791,244.6437225,292.6641541,-0.329036444,-0.316734552,0.351767451,30.02976608
22892,236.5965424,295.5532532,-0.296095073,-0.315387666,0.357912034,27.59375954
22996,231.0846252,295.2176514,-0.278599232,-0.312783211,0.364790261,26.88392258
23095,230.9460144,298.8117065,-0.27807194,-0.306746274,0.361150503,26.16885185
23197,228.5457153,297.6890869,-0.274099708,-0.303824008,0.357812613,24.90209007
23303,228.144455,298.0812378,-0.277356446,-0.299455941,0.355774969,25.74460411
23421,230.9897919,298.6977234,-0.289618164,-0.300156891,0.357177764,26.46992111
23519,238.8527527,298.2362671,-0.313438326,-0.297460258,0.352523446,28.61486053
23620,244.1220856,299.8873596,-0.323088795,-0.300500393,0.345140278,28.63428116
23739,250.0170288,288.8521423,-0.349683106,-0.315324485,0.340686202,30.8793869
23858,251.439682,286.1089478,-0.349983662,-0.32171303,0.341928035,31.46348763
23963,254.6498108,286.9114685,-0.357948154,-0.328804016,0.348532289,33.59893036
24059,255.3647919,288.2174072,-0.365982592,-0.323212683,0.350998163,34.54063034
24192,256.2402649,290.2893982,-0.36890918,-0.322464824,0.355587423,34.09138489
24271,255.4377441,289.7568054,-0.374328464,-0.31672442,0.354572803,33.72369766
24371,254.9562225,289.6911621,-0.367994547,-0.319430649,0.362616867,32.72633362
24471,254.117218,286.765564,-0.372811466,-0.317127109,0.3639507,33.7453537
24599,253.9421234,288.3925171,-0.378795654,-0.317778289,0.354293317,34.11977386
24675,253.431427,289.9173279,-0.374191344,-0.315297306,0.349035412,34.02148438
24800,254.0150757,288.2684937,-0.368844569,-0.316617936,0.35232389,33.78326416
24878,253.3876495,287.0501099,-0.372446507,-0.32212916,0.371463299,34.54711533
24999,253.5043793,285.7003784,-0.36825639,-0.32006368,0.372360975,34.8694458
25075,253.9712982,285.196991,-0.379462779,-0.328392595,0.375350177,35.90716553
25195,254.007782,285.109436,-0.376297057,-0.323497713,0.376522273,35.09863663
25268,253.9931946,285.5982361,-0.367517352,-0.323751897,0.377928227,34.92013168
25375,253.5773315,286.3132324,-0.365590125,-0.325437695,0.382371545,34.7977562
25510,254.0223694,285.9411621,-0.367911518,-0.325890779,0.379597247,34.75745773
25576,254.4309387,286.4810181,-0.369240046,-0.321201801,0.381860107,35.38663864
25704,254.036972,285.8754883,-0.363291264,-0.320620716,0.380932689,35.17675781
25778,254.2047729,286.2256775,-0.361607432,-0.318807244,0.384118795,34.50192642
